group;variable;value
04/03/2020;ARA;49
04/03/2020;BFC;16
04/03/2020;Bret;23
04/03/2020;CVL;0
04/03/2020;Corse;0
04/03/2020;Grand Est;38
04/03/2020;HDF;65
04/03/2020;IDF;55
04/03/2020;Normandie;2
04/03/2020;NA;5
04/03/2020;Occ;9
04/03/2020;PL;7
04/03/2020;PACA;13
04/03/2020;Guad;3
04/03/2020;St-Barth;0
04/03/2020;St-Martin;0
04/03/2020;Guy;0
04/03/2020;Mart;0
04/03/2020;Mayo;0
04/03/2020;Réun;0
15/03/2020;ARA;523
15/03/2020;BFC;412
15/03/2020;Bret;207
15/03/2020;CVL;71
15/03/2020;Corse;115
15/03/2020;Grand Est;1378
15/03/2020;HDF;507
15/03/2020;IDF;1209
15/03/2020;Normandie;143
15/03/2020;NA;144
15/03/2020;Occ;243
15/03/2020;PL;98
15/03/2020;PACA;330
15/03/2020;Guad;6
15/03/2020;St-Barth;3
15/03/2020;St-Martin;2
15/03/2020;Guy;7
15/03/2020;Mart;15
15/03/2020;Mayo;1
15/03/2020;Réun;9
25/03/2020;ARA;2093
25/03/2020;BFC;1569
25/03/2020;Bret;603
25/03/2020;CVL;561
25/03/2020;Corse;225
25/03/2020;Grand Est;5479
25/03/2020;HDF;1753
25/03/2020;IDF;7660
25/03/2020;Normandie;688
25/03/2020;NA;912
25/03/2020;Occ;1082
25/03/2020;PL;368
25/03/2020;PACA;1927
25/03/2020;Guad;76
25/03/2020;St-Barth;3
25/03/2020;St-Martin;11
25/03/2020;Guy;28
25/03/2020;Mart;66
25/03/2020;Mayo;35
25/03/2020;Réun;94
;;
